sample,nominal,JESup,JESdown,JERup,JERdown
ttHH,0.7635899535592028,0.8001645542138437,0.7304833876539732,0.7632428677024763,0.763902310028103
ttSL,0.8518154003914318,0.8772181081642628,0.8260072568957022,0.8509576926169315,0.8525923190940552
ttDL,0.7789698394223286,0.8063369100523552,0.750927323330951,0.7778117156636323,0.7799328264046114
ttbbSL,0.8005093605693423,0.8301273981752452,0.7719841292396749,0.7999059875626866,0.8008271616633755
ttbbDL,0.7503026788360616,0.7815073330279115,0.7205699825267515,0.7492526540690856,0.7515170365076418
ttZH,0.766225877010426,0.8020748055765171,0.7334215314140596,0.7659485996230269,0.7664168800512035
ttZ,0.7992001131492754,0.8304911811498363,0.7699530086885518,0.799028302280778,0.799436378262092
ttHSL,0.8072777405466924,0.838229982293416,0.7778920539988613,0.8068262078512063,0.8075678004986278
ttHDL,0.7587257840818122,0.7912859470771342,0.7280393410382753,0.7580965979484217,0.7594391926020139
ttZZ,0.7722907424720987,0.8077513740613737,0.7399585907061614,0.7721250932798862,0.7724666337307784
tt4b,0.7480352109044636,0.7843491472809707,0.7154860327813211,0.7478164593175383,0.7483707136362939
