sample,syst,bin,ratio
ttHH,nominal,4,0.8408729333751643
ttHH,nominal,5,0.8073605485930198
ttHH,nominal,6,0.7806335969803434
ttHH,nominal,7,0.7529087358826456
ttHH,nominal,8,0.7281915111526815
ttHH,nominal,9,0.6991176817534439
ttHH,nominal,10,0.6681179589769626
ttHH,nominal,11,0.63382344141619
ttHH,nominal,12,0.6258504698897552
ttHH,nominal,13,0.6230463239214105
ttHH,nominal,14,0.6062195604111874
ttHH,nominal,15,0.5063564686123737
ttHH,nominal,16,0.15230546054189092
ttHH,uphf,4,0.8203081775402743
ttHH,uphf,5,0.7891581463241224
ttHH,uphf,6,0.7662126271702279
ttHH,uphf,7,0.7455277289151097
ttHH,uphf,8,0.731008470639261
ttHH,uphf,9,0.7161862257452483
ttHH,uphf,10,0.7017780210877937
ttHH,uphf,11,0.6822920383112658
ttHH,uphf,12,0.689254623785045
ttHH,uphf,13,0.6849850211891682
ttHH,uphf,14,0.7087376569416828
ttHH,uphf,15,0.5506077609267989
ttHH,uphf,16,0.1828242523889077
ttHH,downhf,4,0.8687952303628498
ttHH,downhf,5,0.8344196747520723
ttHH,downhf,6,0.8052986742391776
ttHH,downhf,7,0.7718253408870118
ttHH,downhf,8,0.7382419185055431
ttHH,downhf,9,0.6961831223078871
ttHH,downhf,10,0.6506145111844867
ttHH,downhf,11,0.602980271833373
ttHH,downhf,12,0.5852783855188458
ttHH,downhf,13,0.5865425727659044
ttHH,downhf,14,0.5453566273763705
ttHH,downhf,15,0.48494604491733145
ttHH,downhf,16,0.1304587388780728
ttHH,uplf,4,1.1148679132401733
ttHH,uplf,5,1.1298012272425522
ttHH,uplf,6,1.1417692549026797
ttHH,uplf,7,1.1426736989523032
ttHH,uplf,8,1.1339598810811997
ttHH,uplf,9,1.1088582419440034
ttHH,uplf,10,1.0686122386396963
ttHH,uplf,11,1.0294363257617982
ttHH,uplf,12,1.016873702395724
ttHH,uplf,13,1.0194160104968624
ttHH,uplf,14,0.929547365346294
ttHH,uplf,15,0.8603323969596173
ttHH,uplf,16,0.33448384517056357
ttHH,downlf,4,0.6413842189234715
ttHH,downlf,5,0.5846750934549712
ttHH,downlf,6,0.5424003621622139
ttHH,downlf,7,0.5053137630984977
ttHH,downlf,8,0.4777374996651216
ttHH,downlf,9,0.4509530676015109
ttHH,downlf,10,0.42896362680146727
ttHH,downlf,11,0.4001324753271482
ttHH,downlf,12,0.39528737783290047
ttHH,downlf,13,0.3912409267918731
ttHH,downlf,14,0.40962754098827553
ttHH,downlf,15,0.3110667434512308
ttHH,downlf,16,0.07736555123292878
ttHH,uplfstats1,4,0.8807554174207889
ttHH,uplfstats1,5,0.8574894487412293
ttHH,uplfstats1,6,0.841857323021863
ttHH,uplfstats1,7,0.8258474277984607
ttHH,uplfstats1,8,0.8142455529576176
ttHH,uplfstats1,9,0.7983594407928827
ttHH,uplfstats1,10,0.7792851563279816
ttHH,uplfstats1,11,0.756830336295638
ttHH,uplfstats1,12,0.7635820054574031
ttHH,uplfstats1,13,0.7860464325735722
ttHH,uplfstats1,14,0.7548520608078476
ttHH,uplfstats1,15,0.665838621937539
ttHH,uplfstats1,16,0.20221766213282602
ttHH,downlfstats1,4,0.8011893653342992
ttHH,downlfstats1,5,0.7583396357924889
ttHH,downlfstats1,6,0.721886071722677
ttHH,downlfstats1,7,0.6843620765823885
ttHH,downlfstats1,8,0.6491588640407514
ttHH,downlfstats1,9,0.6102721461506465
ttHH,downlfstats1,10,0.5710897366204024
ttHH,downlfstats1,11,0.5291709209349663
ttHH,downlfstats1,12,0.5117697501560238
ttHH,downlfstats1,13,0.49201203009482086
ttHH,downlfstats1,14,0.4857198454467046
ttHH,downlfstats1,15,0.38394185942799297
ttHH,downlfstats1,16,0.11542627553000527
ttHH,uplfstats2,4,0.8700383593394412
ttHH,uplfstats2,5,0.8446960851061845
ttHH,uplfstats2,6,0.8268871602920622
ttHH,uplfstats2,7,0.8088615405909507
ttHH,uplfstats2,8,0.7952059664894735
ttHH,uplfstats2,9,0.7776814665575349
ttHH,uplfstats2,10,0.757449149538319
ttHH,uplfstats2,11,0.7335696340074634
ttHH,uplfstats2,12,0.7386174720748848
ttHH,uplfstats2,13,0.7542060551886144
ttHH,uplfstats2,14,0.7368257152921848
ttHH,uplfstats2,15,0.6307519591428029
ttHH,uplfstats2,16,0.19230560653534276
ttHH,downlfstats2,4,0.8100724456935123
ttHH,downlfstats2,5,0.7687065886496749
ttHH,downlfstats2,6,0.7337542169879646
ttHH,downlfstats2,7,0.6974584072756905
ttHH,downlfstats2,8,0.663412550549984
ttHH,downlfstats2,9,0.6251856658443268
ttHH,downlfstats2,10,0.5862247212247078
ttHH,downlfstats2,11,0.5446647731253629
ttHH,downlfstats2,12,0.5276154663814747
ttHH,downlfstats2,13,0.5115981171760793
ttHH,downlfstats2,14,0.4962722385831717
ttHH,downlfstats2,15,0.4044918836402854
ttHH,downlfstats2,16,0.12070453595130087
ttHH,uphfstats1,4,0.795582217419766
ttHH,uphfstats1,5,0.7560953637720373
ttHH,uphfstats1,6,0.7250668733612103
ttHH,uphfstats1,7,0.6945782692308166
ttHH,uphfstats1,8,0.6684917046961147
ttHH,uphfstats1,9,0.6394685534359109
ttHH,uphfstats1,10,0.6097185831758049
ttHH,uphfstats1,11,0.5771760791124234
ttHH,uphfstats1,12,0.5697423839137153
