sample,syst,bin,ratio
ttHH,downhfstats1,6,0.958200016455554
ttHH,downhfstats1,7,0.9412693001219073
ttHH,downhfstats1,8,0.9105912948838129
ttHH,downhfstats1,9,0.8825744638854713
ttHH,downhfstats1,10,0.8484834771307731
ttHH,downhfstats1,11,0.8168319821699751
ttHH,downhfstats1,12,0.8042189754402361
ttHH,downhfstats1,13,0.7156870022523054
ttHH,downhfstats1,14,0.8556713427854196
ttHH,downhfstats1,15,0.0
ttHH,downhfstats1,16,0.7556365287434744
ttHH,uphfstats2,4,0.9419480915789838
ttHH,uphfstats2,5,0.9211163584420452
ttHH,uphfstats2,6,0.9022081485232287
ttHH,uphfstats2,7,0.8813983375660406
ttHH,uphfstats2,8,0.8496281703772617
ttHH,uphfstats2,9,0.8223374670439997
ttHH,uphfstats2,10,0.7906239998172578
ttHH,uphfstats2,11,0.7601946254809915
ttHH,uphfstats2,12,0.7412962071259162
ttHH,uphfstats2,13,0.6630151532479535
ttHH,uphfstats2,14,0.8317587533704682
ttHH,uphfstats2,15,0.0
ttHH,uphfstats2,16,0.7488570261143588
ttHH,downhfstats2,4,0.8919033833029578
ttHH,downhfstats2,5,0.8629907488987575
ttHH,downhfstats2,6,0.8386568868918629
ttHH,downhfstats2,7,0.8140194645011904
ttHH,downhfstats2,8,0.7799820165687287
ttHH,downhfstats2,9,0.7525648225484352
ttHH,downhfstats2,10,0.719698514801393
ttHH,downhfstats2,11,0.6896715276757923
ttHH,downhfstats2,12,0.6742804796095381
ttHH,downhfstats2,13,0.601381993401678
ttHH,downhfstats2,14,0.7316577692035999
ttHH,downhfstats2,15,0.0
ttHH,downhfstats2,16,0.7143375749259533
ttHH,upcferr1,4,0.8892954534726609
ttHH,upcferr1,5,0.8528044250272623
ttHH,upcferr1,6,0.818435502788697
ttHH,upcferr1,7,0.7841885909037368
ttHH,upcferr1,8,0.7423543338073768
ttHH,upcferr1,9,0.7021298003486862
ttHH,upcferr1,10,0.6667368621459746
ttHH,upcferr1,11,0.6281943660579796
ttHH,upcferr1,12,0.5883662141681002
ttHH,upcferr1,13,0.5446119465460751
ttHH,upcferr1,14,0.6041572538796801
ttHH,upcferr1,15,0.0
ttHH,upcferr1,16,0.42241527309669824
ttHH,downcferr1,4,0.9397071343630586
ttHH,downcferr1,5,0.9256770170948742
ttHH,downcferr1,6,0.9163983467303237
ttHH,downcferr1,7,0.9059397138071164
ttHH,downcferr1,8,0.8828526630899719
ttHH,downcferr1,9,0.868901197537977
ttHH,downcferr1,10,0.8408413112723078
ttHH,downcferr1,11,0.8208840512333525
ttHH,downcferr1,12,0.8324261187038161
ttHH,downcferr1,13,0.7058867034341467
ttHH,downcferr1,14,0.9899845435580171
ttHH,downcferr1,15,0.0
