Name,ttSL,ttDL,ttH
GenWeight_fsr_Def_down,0.999635318735,0.999648736106,0.999478395706
GenWeight_fsr_Def_up,0.999532093814,0.999524050993,0.999591417638
GenWeight_isr_Def_down,0.999622055787,0.999620060165,0.999573935401
GenWeight_isr_Def_up,0.999617656463,0.999614239927,0.999605841537
Weight_LHA_306000_down,1.03936207231,1.03935523231,1.05237871175
Weight_LHA_306000_nominal,0.999993445437,1.00000411331,0.999992609137
Weight_LHA_306000_up,0.963498356648,0.963524044417,0.952574629438
Weight_pdf_variation_306000,0.999993445437,1.00000411331,0.999992609137
Weight_pdf_variation_306001,1.00089536766,1.00089535719,1.00081148461
Weight_pdf_variation_306002,0.999064699844,0.999068569407,0.999538311686
Weight_pdf_variation_306003,0.999646467423,0.999649215364,1.00041342953
Weight_pdf_variation_306004,0.997566710569,0.997567339703,0.997602276355
Weight_pdf_variation_306005,1.00062124118,1.00062173747,0.999921825991
Weight_pdf_variation_306006,1.0023994086,1.00240128211,1.00168609321
Weight_pdf_variation_306007,1.00154335949,1.00154548337,1.00027130169
Weight_pdf_variation_306008,1.00230750626,1.00231014721,1.00141092045
Weight_pdf_variation_306009,0.998186415916,0.998188021731,0.997657545609
Weight_pdf_variation_306010,1.00075555318,1.00075576566,1.00119601204
Weight_pdf_variation_306011,1.00214436018,1.00214440728,1.00357813855
Weight_pdf_variation_306012,0.999775914299,0.999777398279,1.00072355925
Weight_pdf_variation_306013,1.00127901498,1.00127988151,1.00380021024
Weight_pdf_variation_306014,0.999057561651,0.999060084638,0.999361145827
Weight_pdf_variation_306015,0.999459767834,0.99946121888,0.999989283982
Weight_pdf_variation_306016,0.998710942155,0.998711510683,0.997400800704
Weight_pdf_variation_306017,1.00066635372,1.00066742735,1.0010324924
Weight_pdf_variation_306018,1.0002934747,1.00029535553,1.00200980244
Weight_pdf_variation_306019,0.99970616887,0.999707798092,0.999471050082
Weight_pdf_variation_306020,0.999325680798,0.999327930869,1.00068187343
Weight_pdf_variation_306021,0.999705637267,0.999707624862,0.998359738446
Weight_pdf_variation_306022,0.999985402486,0.999986844496,1.0004569826
Weight_pdf_variation_306023,0.998975364329,0.998976055144,1.00030128609
Weight_pdf_variation_306024,1.00143981146,1.00144162542,1.00167749729
Weight_pdf_variation_306025,0.99941073599,0.999411526743,0.99998883282
Weight_pdf_variation_306026,0.9984749671,0.99847481037,0.99974411239
Weight_pdf_variation_306027,1.00148983575,1.00149171371,1.00110324262
Weight_pdf_variation_306028,1.00159298476,1.00159331508,1.00098507761
Weight_pdf_variation_306029,0.995273040785,0.995272543247,0.996118272852
Weight_pdf_variation_306030,0.9997379121,0.999739180962,1.00100310731
Weight_pdf_variation_306031,0.99921398067,0.999214217511,0.998848352529
Weight_pdf_variation_306032,0.999364162505,0.999364140167,0.998797257096
Weight_pdf_variation_306033,0.999273048361,0.999273663037,0.998928709506
Weight_pdf_variation_306034,0.999233443513,0.999235732027,0.999685938721
Weight_pdf_variation_306035,1.0000264272,1.00002878291,0.99867262619
Weight_pdf_variation_306036,1.00022628371,1.00022714477,0.999971760492
Weight_pdf_variation_306037,0.999294416585,0.999297023383,0.999885695972
Weight_pdf_variation_306038,0.999812695859,0.99981413766,0.999057096649
Weight_pdf_variation_306039,1.00055634968,1.00055719909,1.0006904319
Weight_pdf_variation_306040,0.999772456466,0.999773269926,0.999740580596
Weight_pdf_variation_306041,1.00028853553,1.00028812213,1.00033481672
Weight_pdf_variation_306042,1.00152558554,1.00152712289,1.00116097679
Weight_pdf_variation_306043,0.999963062414,0.999966123685,0.999993871487
Weight_pdf_variation_306044,0.999116496529,0.99911772852,0.999006238178
Weight_pdf_variation_306045,1.00038439986,1.00038577341,1.00053523582
Weight_pdf_variation_306046,0.998836411479,0.998835322157,0.999130533606
Weight_pdf_variation_306047,0.999010448546,0.999009117481,0.999535392825
Weight_pdf_variation_306048,1.00110085096,1.00110256542,1.00080055317
Weight_pdf_variation_306049,1.00044689284,1.00044868861,1.00033939714
Weight_pdf_variation_306050,0.999602959031,0.999604228934,0.999712590636
Weight_pdf_variation_306051,0.999370102833,0.999371244514,0.999284451676
Weight_pdf_variation_306052,1.00040958288,1.00040835119,1.00061172462
Weight_pdf_variation_306053,0.999793666622,0.999794157651,0.999760518866
Weight_pdf_variation_306054,0.999626734864,0.999628463366,0.999477337767
Weight_pdf_variation_306055,0.99985390162,0.999854798537,0.999753934795
Weight_pdf_variation_306056,0.999988422493,0.99999045181,0.999867310031
Weight_pdf_variation_306057,0.999998165982,1.00000034452,1.00001974683
Weight_pdf_variation_306058,0.999809632451,0.999812067812,0.999532582161
Weight_pdf_variation_306059,1.0002887116,1.00029100778,1.0004021496
Weight_pdf_variation_306060,1.00004087447,1.00004102454,1.00030498313
Weight_pdf_variation_306061,1.00037898507,1.00037882949,1.00047411908
Weight_pdf_variation_306062,1.00010386145,1.0001047907,1.00004964389
Weight_pdf_variation_306063,0.999995659304,0.999996909457,1.00012912814
Weight_pdf_variation_306064,1.0002517326,1.00025505003,1.00050455185
Weight_pdf_variation_306065,0.999817402458,0.999816891779,0.999699629988
Weight_pdf_variation_306066,0.999837664766,0.99983730153,0.999852261513
Weight_pdf_variation_306067,1.0000902664,1.00008916093,1.00018608273
Weight_pdf_variation_306068,0.999708748754,0.999708645642,0.99967274478
Weight_pdf_variation_306069,0.999688679848,0.999687876716,0.999614893136
Weight_pdf_variation_306070,1.0007968351,1.00079862267,1.00098213684
Weight_pdf_variation_306071,1.00061222386,1.00061539715,1.00057513346
