sample,variation,fiducial_xs_norm,inclusive_xs_norm,ratio_ttB_varied_vs_nom_5FS,ratio_ttC_varied_vs_nom_5FS,ratio_ttLF_varied_vs_nom_5FS,ratio_ttB_5FS_vs_this_varied,final_weight_sl_analysis
ttDL,Weight_scale_variation_muR_1p0_muF_1p0,1.000004113,1.000004113,1,1,1,1,1.000004113
ttDL,Weight_scale_variation_muR_2p0_muF_1p0,1.110052942,1.110373553,0.986233158,0.990970724,1.000950127,1,1.110373553
ttDL,Weight_scale_variation_muR_2p0_muF_2p0,1.137574448,1.137977506,0.983059949,0.987026194,1.001300001,1,1.137977506
ttDL,Weight_scale_variation_muR_0p5_muF_1p0,0.903822345,0.903452483,1.019576255,1.012804314,0.998652985,1,0.903452483
ttDL,Weight_scale_variation_muR_0p5_muF_0p5,0.888262452,0.887764099,1.026850225,1.019583975,0.998010092,1,0.887764099
ttDL,Weight_scale_variation_muR_1p0_muF_2p0,1.019179174,1.019282186,0.99516696,0.995192604,1.000449369,1,1.019282186
ttDL,Weight_scale_variation_muR_1p0_muF_0p5,0.976088398,0.975993692,1.004637766,1.005300462,0.99952111,1,0.975993692
ttDL,Weight_LHA_306000_nominal,1.000004113,1.000004113,1,1,1,1,1.000004113
ttDL,Weight_LHA_306000_up,0.963537673,0.963501211,1.001855106,1.003805855,0.999689487,1,0.963501211
ttDL,Weight_LHA_306000_down,1.039339374,1.039381803,0.998047256,0.995901387,1.00033566,1,1.039381803
ttDL,Weight_pdf_variation_306000,1.000004113,1.000004113,1,1,1,1,1.000004113
ttDL,Weight_pdf_variation_306001,1.000896047,1.000895971,1.000048819,0.999922958,1.00000656,1,1.000895971
ttDL,Weight_pdf_variation_306002,0.999059396,0.999063706,0.999804726,0.9994453,1.000044828,1,0.999063706
ttDL,Weight_pdf_variation_306003,0.999642111,0.999646377,0.999804726,0.999645609,1.000030614,1,0.999646377
ttDL,Weight_pdf_variation_306004,0.997571261,0.997567659,1.000195274,1.000570108,0.999956266,1,0.997567659
ttDL,Weight_pdf_variation_306005,1.000623047,1.000621729,1.000097637,1.00009245,0.99999344,1,1.000621729
ttDL,Weight_pdf_variation_306006,1.002395398,1.002399068,0.999853544,0.999522342,1.000038267,1,1.002399068
ttDL,Weight_pdf_variation_306007,1.001547305,1.001543957,1.000195274,1.000508475,0.999960639,1,1.001543957
ttDL,Weight_pdf_variation_306008,1.002305058,1.002306961,0.999951181,0.999876733,1.000012027,1,1.002306961
ttDL,Weight_pdf_variation_306009,0.998186983,0.998187993,0.999951181,1.000015408,1,1,0.998187993
ttDL,Weight_pdf_variation_306010,1.000755408,1.000755075,1.000048819,0.999861325,1.00000984,1,1.000755075
ttDL,Weight_pdf_variation_306011,1.00213888,1.002145083,0.999707088,1.000215716,0.999992347,1,1.002145083
ttDL,Weight_pdf_variation_306012,0.999770589,0.999778609,0.99965827,1.000061633,1.000004373,1,0.999778609
ttDL,Weight_pdf_variation_306013,1.001268128,1.001280213,0.999462996,0.999830508,1.000025147,1,1.001280213
ttDL,Weight_pdf_variation_306014,0.999047829,0.99905946,0.999462996,0.999090909,1.000077628,1,0.99905946
ttDL,Weight_pdf_variation_306015,0.999455289,0.999460465,0.999755907,0.999738059,1.000025147,1,0.999460465
ttDL,Weight_pdf_variation_306016,0.998711295,0.998711483,1,0.999583975,1.000030614,1,0.998711483
ttDL,Weight_pdf_variation_306017,1.000667279,1.000666259,1.000048819,1.000123267,0.999991253,1,1.000666259
ttDL,Weight_pdf_variation_306018,1.000289562,1.000293995,0.999804726,1.000154083,0.999994533,1,1.000293995
ttDL,Weight_pdf_variation_306019,0.999708406,0.999706848,1.000097637,1.000123267,0.99999016,1,0.999706848
ttDL,Weight_pdf_variation_306020,0.999321386,0.999326226,0.999804726,1.000200308,0.999992347,1,0.999326226
ttDL,Weight_pdf_variation_306021,0.999706751,0.999706957,1,0.999691834,1.000021867,1,0.999706957
ttDL,Weight_pdf_variation_306022,0.999979457,0.999986658,0.99965827,0.9994453,1.000047014,1,0.999986658
ttDL,Weight_pdf_variation_306023,0.99898325,0.99897474,1.000439367,1.001232666,0.999903785,1,0.99897474
ttDL,Weight_pdf_variation_306024,1.001432973,1.001440998,0.99965827,0.999337442,1.000055761,1,1.001440998
ttDL,Weight_pdf_variation_306025,0.999407696,0.999411867,0.999804726,0.9998151,1.000018587,1,0.999411867
ttDL,Weight_pdf_variation_306026,0.998484948,0.998474149,1.000537004,1.001001541,0.999917998,1,0.998474149
ttDL,Weight_pdf_variation_306027,1.001483809,1.001490738,0.999707088,0.999044684,1.000075442,1,1.001490738
ttDL,Weight_pdf_variation_306028,1.001585297,1.001593056,0.99965827,0.999322034,1.000056855,1,1.001593056
ttDL,Weight_pdf_variation_306029,0.99530176,0.995275112,1.001318102,1.002696456,0.999781329,1,0.995275112
ttDL,Weight_pdf_variation_306030,0.999747486,0.999739575,1.000390549,1.000338983,0.999967199,1,0.999739575
ttDL,Weight_pdf_variation_306031,0.999212713,0.999213595,1,1.000015408,1,1,0.999213595
ttDL,Weight_pdf_variation_306032,0.999364102,0.99936175,1.000146456,1.000416025,0.999968293,1,0.99936175
ttDL,Weight_pdf_variation_306033,0.999272559,0.999273205,1,1.000077042,0.99999672,1,0.999273205
ttDL,Weight_pdf_variation_306034,0.999233203,0.999231522,1.000097637,0.999969183,1.000001093,1,0.999231522
ttDL,Weight_pdf_variation_306035,1.000026751,1.000029011,0.999902363,0.999676425,1.000025147,1,1.000029011
ttDL,Weight_pdf_variation_306036,1.000224446,1.000226635,0.999902363,1.000246533,0.999985786,1,1.000226635
ttDL,Weight_pdf_variation_306037,0.999296001,0.999292795,1.000195274,1.000046225,0.999994533,1,0.999292795
ttDL,Weight_pdf_variation_306038,0.99981015,0.999811417,0.999951181,0.999938367,1.00000656,1,0.999811417
ttDL,Weight_pdf_variation_306039,1.000558654,1.000557585,1.000048819,1.000215716,0.9999836,1,1.000557585
ttDL,Weight_pdf_variation_306040,0.999775916,0.999773925,1.000097637,1.000215716,0.9999836,1,0.999773925
ttDL,Weight_pdf_variation_306041,1.000289196,1.000290044,1,1.0001849,0.999989066,1,1.000290044
ttDL,Weight_pdf_variation_306042,1.001521093,1.001526653,0.999755907,0.999738059,1.000025147,1,1.001526653
ttDL,Weight_pdf_variation_306043,0.999961574,0.999961519,1.000048819,0.999614792,1.000028427,1,0.999961519
ttDL,Weight_pdf_variation_306044,0.999118199,0.999116828,1.000097637,0.999876733,1.000007653,1,0.999116828
ttDL,Weight_pdf_variation_306045,1.000381464,1.000384028,0.999902363,0.999799692,1.000017494,1,1.000384028
ttDL,Weight_pdf_variation_306046,0.998840606,0.998837583,1.000146456,0.999738059,1.000015307,1,0.998837583
ttDL,Weight_pdf_variation_306047,0.999016237,0.999011531,1.000244093,0.99990755,1.000002187,1,0.999011531
ttDL,Weight_pdf_variation_306048,1.001094541,1.001101984,0.99965827,0.999352851,1.000053574,1,1.001101984
ttDL,Weight_pdf_variation_306049,1.000446817,1.000448527,0.999951181,1.000123267,0.99999344,1,1.000448527
ttDL,Weight_pdf_variation_306050,0.999602782,0.999602881,1,0.999599384,1.000028427,1,0.999602881
ttDL,Weight_pdf_variation_306051,0.999368642,0.999369318,1,0.999553159,1.000032801,1,0.999369318
ttDL,Weight_pdf_variation_306052,1.000410233,1.000410292,1,1.000154083,0.99999016,1,1.000410292
ttDL,Weight_pdf_variation_306053,0.999793891,0.999793686,1.000048819,0.999707242,1.000020774,1,0.999793686
