Unnamed: 0,Name,ttSL,ttDL
0,GenWeight_fsr_Def_down,1.008514035,1.00673425339
1,GenWeight_fsr_Def_up,0.986160391142,0.989353559784
2,GenWeight_isr_Def_down,1.00156092492,1.00152966723
3,GenWeight_isr_Def_up,0.997988338581,0.998029692383
4,Weight_LHA_306000_down,1.00029975087,1.00033458054
5,Weight_LHA_306000_nominal,1.0,1.0
6,Weight_LHA_306000_up,0.999721342706,0.999689474271
7,Weight_pdf_variation_306000,1.0,1.0
8,Weight_pdf_variation_306001,1.00000555094,1.0000065604
9,Weight_pdf_variation_306002,1.00004329735,1.00004373602
10,Weight_pdf_variation_306003,1.0000288649,1.00002952181
11,Weight_pdf_variation_306004,0.999954482275,0.999955170581
12,Weight_pdf_variation_306005,0.999992228681,0.999992346197
13,Weight_pdf_variation_306006,1.00003774641,1.00003826902
14,Weight_pdf_variation_306007,0.999962253594,0.999960637584
15,Weight_pdf_variation_306008,1.00001221207,1.000010934
16,Weight_pdf_variation_306009,0.999998889812,0.9999989066
17,Weight_pdf_variation_306010,1.00000888151,1.0000098406
18,Weight_pdf_variation_306011,0.999991118493,0.999991252796
19,Weight_pdf_variation_306012,1.00000333057,1.0000032802
20,Weight_pdf_variation_306013,1.00002331396,1.00002514821
21,Weight_pdf_variation_306014,1.00007438262,1.00007763143
22,Weight_pdf_variation_306015,1.00002331396,1.00002405481
23,Weight_pdf_variation_306016,1.0000288649,1.00002952181
24,Weight_pdf_variation_306017,0.999990008304,0.999990159396
25,Weight_pdf_variation_306018,0.999992228681,0.999994532998
26,Weight_pdf_variation_306019,0.999988898116,0.999989065995
27,Weight_pdf_variation_306020,0.999988898116,0.999991252796
28,Weight_pdf_variation_306021,1.00002220377,1.00002186801
29,Weight_pdf_variation_306022,1.00004440754,1.00004701622
30,Weight_pdf_variation_306023,0.999902303419,0.99990378076
31,Weight_pdf_variation_306024,1.00005439923,1.00005576342
32,Weight_pdf_variation_306025,1.00001554264,1.00001749441
33,Weight_pdf_variation_306026,0.999916735868,0.999917994966
34,Weight_pdf_variation_306027,1.00007438262,1.00007544463
35,Weight_pdf_variation_306028,1.00005550942,1.00005685682
36,Weight_pdf_variation_306029,0.999781292881,0.999780226509
37,Weight_pdf_variation_306030,0.999966694347,0.999967197986
38,Weight_pdf_variation_306031,0.999997779623,1.0
39,Weight_pdf_variation_306032,0.999966694347,0.999968291387
40,Weight_pdf_variation_306033,0.999994449058,0.999995626398
41,Weight_pdf_variation_306034,0.999998889812,1.0
42,Weight_pdf_variation_306035,1.00002553433,1.00002514821
43,Weight_pdf_variation_306036,0.999984457362,0.999985785794
44,Weight_pdf_variation_306037,0.999994449058,0.999993439597
45,Weight_pdf_variation_306038,1.00000555094,1.000005467
46,Weight_pdf_variation_306039,0.999982236985,0.999983598993
47,Weight_pdf_variation_306040,0.999981126797,0.999982505593
48,Weight_pdf_variation_306041,0.999986677739,0.999987972595
49,Weight_pdf_variation_306042,1.00002553433,1.00002405481
50,Weight_pdf_variation_306043,1.0000288649,1.00002842841
51,Weight_pdf_variation_306044,1.00000666113,1.0000076538
52,Weight_pdf_variation_306045,1.00001776301,1.00001749441
53,Weight_pdf_variation_306046,1.00001221207,1.00001530761
54,Weight_pdf_variation_306047,0.999998889812,1.0000021868
55,Weight_pdf_variation_306048,1.00005217886,1.00005467002
56,Weight_pdf_variation_306049,0.999992228681,0.999993439597
57,Weight_pdf_variation_306050,1.00002442415,1.00002842841
58,Weight_pdf_variation_306051,1.00002997509,1.00003280201
59,Weight_pdf_variation_306052,0.999988898116,0.999989065995
60,Weight_pdf_variation_306053,1.00001998339,1.00002077461
61,Weight_pdf_variation_306054,1.00001665283,1.00001749441
62,Weight_pdf_variation_306055,0.999997779623,1.0
63,Weight_pdf_variation_306056,0.999991118493,0.999990159396
64,Weight_pdf_variation_306057,1.00001110188,1.0000120274
65,Weight_pdf_variation_306058,1.00003996678,1.00004154922
66,Weight_pdf_variation_306059,1.00001221207,1.0000120274
67,Weight_pdf_variation_306060,1.00001665283,1.00001858781
68,Weight_pdf_variation_306061,0.999988898116,0.999989065995
69,Weight_pdf_variation_306062,1.0000188732,1.00001968121
70,Weight_pdf_variation_306063,0.999994449058,0.999995626398
71,Weight_pdf_variation_306064,0.999961143405,0.999960637584
72,Weight_pdf_variation_306065,1.0000477381,1.00005138982
73,Weight_pdf_variation_306066,0.999984457362,0.999983598993
74,Weight_pdf_variation_306067,1.00000444075,1.0000065604
75,Weight_pdf_variation_306068,1.00002775471,1.00002952181
76,Weight_pdf_variation_306069,1.00001554264,1.00001640101
77,Weight_pdf_variation_306070,0.999982236985,0.999983598993
78,Weight_pdf_variation_306071,0.999970024913,0.999970478188
79,Weight_pdf_variation_306072,1.00001443245,1.00001530761
80,Weight_pdf_variation_306073,1.00000111019,1.0000032802
81,Weight_pdf_variation_306074,0.999974465666,0.99997594519
82,Weight_pdf_variation_306075,1.0,1.0000021868
83,Weight_pdf_variation_306076,1.00001332226,1.0000120274
84,Weight_pdf_variation_306077,0.999975575855,0.999979225391
85,Weight_pdf_variation_306078,0.999997779623,0.999996719799
86,Weight_pdf_variation_306079,1.00001554264,1.00001530761
87,Weight_pdf_variation_306080,1.0000099917,1.0000098406
88,Weight_pdf_variation_306081,1.00000666113,1.0000065604
89,Weight_pdf_variation_306082,1.00001554264,1.00001530761
90,Weight_pdf_variation_306083,0.999996669435,0.999995626398
91,Weight_pdf_variation_306084,0.999996669435,0.9999989066
92,Weight_pdf_variation_306085,0.999994449058,0.999992346197
