sample,variation,fiducial_xs_norm,inclusive_xs_norm,ratio_ttB_varied_vs_nom_5FS,ratio_ttC_varied_vs_nom_5FS,ratio_ttLF_varied_vs_nom_5FS,ratio_ttB_5FS_vs_this_varied,final_weight_sl_analysis
ttH,Weight_pdf_variation_306052,1.000611725,1.000611725,-1,-1,-1,-1,1.000611725
ttH,Weight_pdf_variation_306053,0.999760519,0.999760519,-1,-1,-1,-1,0.999760519
ttH,Weight_pdf_variation_306054,0.999477338,0.999477338,-1,-1,-1,-1,0.999477338
ttH,Weight_pdf_variation_306055,0.999753935,0.999753935,-1,-1,-1,-1,0.999753935
ttH,Weight_pdf_variation_306056,0.99986731,0.99986731,-1,-1,-1,-1,0.99986731
ttH,Weight_pdf_variation_306057,1.000019747,1.000019747,-1,-1,-1,-1,1.000019747
ttH,Weight_pdf_variation_306058,0.999532582,0.999532582,-1,-1,-1,-1,0.999532582
ttH,Weight_pdf_variation_306059,1.00040215,1.00040215,-1,-1,-1,-1,1.00040215
ttH,Weight_pdf_variation_306060,1.000304983,1.000304983,-1,-1,-1,-1,1.000304983
ttH,Weight_pdf_variation_306061,1.000474119,1.000474119,-1,-1,-1,-1,1.000474119
ttH,Weight_pdf_variation_306062,1.000049644,1.000049644,-1,-1,-1,-1,1.000049644
ttH,Weight_pdf_variation_306063,1.000129128,1.000129128,-1,-1,-1,-1,1.000129128
ttH,Weight_pdf_variation_306064,1.000504552,1.000504552,-1,-1,-1,-1,1.000504552
ttH,Weight_pdf_variation_306065,0.99969963,0.99969963,-1,-1,-1,-1,0.99969963
ttH,Weight_pdf_variation_306066,0.999852262,0.999852262,-1,-1,-1,-1,0.999852262
ttH,Weight_pdf_variation_306067,1.000186083,1.000186083,-1,-1,-1,-1,1.000186083
ttH,Weight_pdf_variation_306068,0.999672745,0.999672745,-1,-1,-1,-1,0.999672745
ttH,Weight_pdf_variation_306069,0.999614893,0.999614893,-1,-1,-1,-1,0.999614893
ttH,Weight_pdf_variation_306070,1.000982137,1.000982137,-1,-1,-1,-1,1.000982137
ttH,Weight_pdf_variation_306071,1.000575133,1.000575133,-1,-1,-1,-1,1.000575133
ttH,Weight_pdf_variation_306072,0.9997476,0.9997476,-1,-1,-1,-1,0.9997476
ttH,Weight_pdf_variation_306073,1.000580483,1.000580483,-1,-1,-1,-1,1.000580483
ttH,Weight_pdf_variation_306074,1.000723903,1.000723903,-1,-1,-1,-1,1.000723903
ttH,Weight_pdf_variation_306075,1.000484357,1.000484357,-1,-1,-1,-1,1.000484357
ttH,Weight_pdf_variation_306076,0.999312572,0.999312572,-1,-1,-1,-1,0.999312572
ttH,Weight_pdf_variation_306077,1.001454256,1.001454256,-1,-1,-1,-1,1.001454256
ttH,Weight_pdf_variation_306078,0.999596652,0.999596652,-1,-1,-1,-1,0.999596652
ttH,Weight_pdf_variation_306079,0.999691914,0.999691914,-1,-1,-1,-1,0.999691914
ttH,Weight_pdf_variation_306080,0.999454388,0.999454388,-1,-1,-1,-1,0.999454388
ttH,Weight_pdf_variation_306081,0.999778672,0.999778672,-1,-1,-1,-1,0.999778672
ttH,Weight_pdf_variation_306082,0.999526635,0.999526635,-1,-1,-1,-1,0.999526635
ttH,Weight_pdf_variation_306083,0.999742033,0.999742033,-1,-1,-1,-1,0.999742033
ttH,Weight_pdf_variation_306084,1.000310195,1.000310195,-1,-1,-1,-1,1.000310195
ttH,Weight_pdf_variation_306085,0.999582107,0.999582107,-1,-1,-1,-1,0.999582107
ttH,Weight_pdf_variation_306086,0.99876566,0.99876566,-1,-1,-1,-1,0.99876566
ttH,Weight_pdf_variation_306087,1.000847234,1.000847234,-1,-1,-1,-1,1.000847234
ttH,Weight_pdf_variation_306088,0.999819174,0.999819174,-1,-1,-1,-1,0.999819174
ttH,Weight_pdf_variation_306089,1.000123788,1.000123788,-1,-1,-1,-1,1.000123788
ttH,Weight_pdf_variation_306090,0.999864946,0.999864946,-1,-1,-1,-1,0.999864946
ttH,Weight_pdf_variation_306091,1.000312283,1.000312283,-1,-1,-1,-1,1.000312283
ttH,Weight_pdf_variation_306092,1.000064306,1.000064306,-1,-1,-1,-1,1.000064306
ttH,Weight_pdf_variation_306093,0.999378001,0.999378001,-1,-1,-1,-1,0.999378001
ttH,Weight_pdf_variation_306094,1.00011402,1.00011402,-1,-1,-1,-1,1.00011402
ttH,Weight_pdf_variation_306095,0.998546288,0.998546288,-1,-1,-1,-1,0.998546288
ttH,Weight_pdf_variation_306096,1.000543363,1.000543363,-1,-1,-1,-1,1.000543363
ttH,Weight_pdf_variation_306097,0.997946355,0.997946355,-1,-1,-1,-1,0.997946355
ttH,Weight_pdf_variation_306098,1.000541735,1.000541735,-1,-1,-1,-1,1.000541735
ttH,Weight_pdf_variation_306099,0.999872242,0.999872242,-1,-1,-1,-1,0.999872242
ttH,Weight_pdf_variation_306100,0.999977524,0.999977524,-1,-1,-1,-1,0.999977524
ttH,Weight_pdf_variation_306101,1.02866248,1.02866248,-1,-1,-1,-1,1.02866248
